family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
1,94,69,47,45,43,41,4,54,90,24,116,6,25,36,62,
1,93,1,127,12,119,115,107,101,33,22,95,10,7,,,
1,131,14,114,85,126,76,66,117,96,35,,,,,,
1,129,109,104,102,98,106,92,81,80,37,32,30,29,26,23,
1,84,38,20,16,21,3,2,123,118,,,,,,,
1,39,8,121,105,82,88,79,70,67,64,55,52,46,42,53,27
1,128,44,19,113,108,78,72,71,57,51,,,,,,
1,56,18,63,124,112,103,97,5,91,75,73,65,34,,,
1,59,11,13,58,9,110,99,89,48,15,,,,,,
1,87,49,40,31,50,28,17,,,,,,,,,
1,77,74,68,61,60,,,,,,,,,,,
1,120,100,111,86,83,,,,,,,,,,,
1,132,130,125,122,,,,,,,,,,,,
