family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
1,47,43,41,54,38,31,4,117,166,20,12,5,82,16,,
1,130,134,101,100,94,69,53,140,116,85,6,7,,,,
1,93,127,90,46,33,162,147,142,96,77,1,137,164,78,86,29
1,149,131,124,76,8,172,141,74,126,25,24,103,,,,
1,129,109,105,106,104,102,92,81,80,71,66,37,30,,,
1,136,36,35,95,3,175,171,168,167,159,148,138,123,88,28,
1,157,115,79,64,67,70,56,55,52,42,23,21,,,,
1,151,39,22,14,170,161,156,155,145,128,125,113,108,57,,
1,18,144,114,112,73,11,174,19,173,51,44,17,,,,
1,99,63,48,169,158,146,98,97,91,62,27,,,,,
1,143,45,154,119,153,110,107,163,89,84,68,65,15,34,13,
1,26,10,9,2,,,,,,,,,,,,
1,165,87,75,59,50,49,58,40,32,,,,,,,
1,133,83,72,61,60,,,,,,,,,,,
1,152,139,132,122,121,120,118,111,,,,,,,,
1,160,150,135,,,,,,,,,,,,,
